Club,Player,Month,Year,Miles
dar,kline103,Feb,68,4996
gth,kline102,Jan,98,1513.5
dew,mharr103,Jun,90,2177
faq,mharr101,Dec,92,4744
frt,abera101,Aug,76,2485
fed,mpede104,Jul,76,1154.5
daw,mjone101,May,18,2396.5
gda,mharr102,Dec,86,579
gda,mharr101,Nov,86,624.25
faq,lgime101,Oct,79,1442.5
dew,pharv103,Sep,73,885.25
daw,jstro102,Apr,64,1658
ger,mjone101,Sep,86,1093.5
faq,hdaerr101,Nov,78,666.5
glk,jstro102,May,01,959.25
frt,NULL,Aug,10,2468
daw,pplin102,Jun,17,1011.75
swe,jstro102,Nov,07,3337
ger,pharv101,Dec,73,2325.5
kjh,lgime102,Mar,88,1145.5
daw,pterv104,Feb,03,752
sad,jstro104,Feb,70,3271
ger,mharr102,Jun,80,573.5
hgg,pharv102,Aug,98,2433
sdd,jstro102,Jul,01,1769
saz,jstro102,Jul,11,590
kjh,pharv103,Nov,18,897
fed,jstro102,Jan,05,1783.5
fgn,kline103,Jul,85,1116.5
swe,pharv102,Apr,18,1646.5
ddf,pharv101,Aug,79,1411
dar,jline104,Jul,83,1567.5
fed,hyera102,Dec,89,1329.33
sdd,kline103,Apr,94,854.75
kjh,mpete102,Jun,19,2028.5
swe,mpede104,Sep,77,4085
dew,jstro102,May,65,1449.33
NULL,lgime102,Dec,78,935.5
fed,ljone104,Apr,66,916
sdd,pplin102,May,02,894
dew,mpede104,Dec,75,1406.33
ddf,lgime101,May,95,1871.5
gda,jstro102,Nov,12,638.25
gda,kline101,Mar,05,864.5
dew,mharr102,Jun,79,1241.75
dew,lsamme104,Feb,08,523.5
ger,pharv101,Sep,06,2175.5
der,NULL,Sep,79,4113
fed,jstro104,Sep,06,2143
ddf,pharm101,May,83,1806
der,mharr103,Oct,77,697.33
gvv,NULL,Nov,79,3441
der,pterv104,May,83,1206.25
gvv,pharv102,Jan,07,3627
fgn,kline103,May,76,1168
glk,jstro102,Jun,98,3356
kjh,gframe102,Sep,93,2385
frt,abera101,Sep,82,875.75
fgn,jstro104,May,77,1116.75
gbn,mharr101,Jan,73,2220.5
dew,pharv101,Jun,99,1461.5
ger,lgime103,Apr,90,954.33
ger,ljone104,Aug,95,735.33
saz,jstro102,May,72,3111
gda,pharm101,Oct,77,4977
faq,jstro102,Feb,98,743.25
gvv,NULL,Nov,02,727.75
dew,lgime103,Sep,92,508
dar,pterv104,Aug,72,866
der,lsamme104,Jul,08,4421
ddf,kline103,Mar,05,3220
faq,hyera102,Aug,94,717
saz,hdaerr101,May,18,677.67
glk,jline104,Apr,74,3510
NULL,lgime101,Jan,11,2349.5
ddf,lsamme104,Jul,05,1383.67
fgn,kline101,Apr,82,1479.33
ger,pharv103,Aug,11,4387
gvv,ljone104,Feb,18,1223.5
fed,pterv104,Aug,71,2481
dew,mpede104,Mar,84,3239
swe,hyera102,Apr,77,750.5
dar,jstro102,Jun,68,1146
der,pharv102,Aug,89,3548
dew,jstro101,Oct,65,980.75
gbn,kline102,Mar,18,1169.25
dew,lgime101,Oct,78,1505.67
fgn,lgime101,Feb,93,1525
swe,dfab103,Apr,66,1087
sdd,juooli101,Apr,81,2210.5
fgn,hdaerr101,Jun,98,1097.75
faq,kline101,Feb,87,716.67
glk,pharv102,Dec,98,1902.5
gbn,jstro102,May,73,2013
dbe,mharr101,Apr,18,3382
sad,jstro101,Nov,87,1083.75
faq,mpete103,Aug,89,860.33
der,mharr103,May,89,1054.75
